FICHIER :;e:\mesures_comax\essai4masses_accelerationfaibles.eposacq
Date :;15/11/2016
Heure :;17:40:00

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en PROFIL de POSITION avec échelon de 250.00 mm.
73 mesures avec période de 25.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Courant Moteur;Position Moteur;Vitesse Moteur;Consigne de Vitesse;
;ms;;mA;qc;rpm;rpm;
         0;       0,0;;      2586;      5871;         0;         0;
         1;      25,0;;      2586;      5871;         0;         0;
         2;      50,0;;      2586;      5871;         0;         0;
         3;      75,0;;      2586;      5871;         0;         0;
         4;     100,0;;      2586;      5871;         0;         0;
         5;     125,0;;      2586;      5871;         0;         0;
         6;     150,0;;      2586;      5871;         0;         0;
         7;     175,0;;      4759;      5896;        18;       115;
         8;     200,0;;      4883;      6044;       109;       240;
         9;     225,0;;      5498;      6300;       220;       365;
        10;     250,0;;      5275;      6661;       339;       489;
        11;     275,0;;      5024;      7125;       461;       614;
        12;     300,0;;      4864;      7688;       581;       739;
        13;     325,0;;      4938;      8355;       703;       864;
        14;     350,0;;      4833;      9125;       827;       989;
        15;     375,0;;      4974;      9998;       950;      1113;
        16;     400,0;;      4994;     10976;      1075;      1238;
        17;     425,0;;      4924;     12060;      1202;      1363;
        18;     450,0;;      4877;     13247;      1326;      1488;
        19;     475,0;;      4857;     14538;      1451;      1613;
        20;     500,0;;      4518;     15934;      1577;      1738;
        21;     525,0;;      4688;     17431;      1700;      1862;
        22;     550,0;;      4836;     19033;      1823;      1987;
        23;     575,0;;      4824;     20739;      1949;      2112;
        24;     600,0;;      4942;     22549;      2074;      2237;
        25;     625,0;;      4862;     24465;      2200;      2362;
        26;     650,0;;      4773;     26486;      2325;      2487;
        27;     675,0;;      4644;     28609;      2450;      2611;
        28;     700,0;;      5116;     30834;      2572;      2736;
        29;     725,0;;      5047;     33163;      2697;      2861;
        30;     750,0;;      5197;     35599;      2822;      2986;
        31;     775,0;;      5099;     38139;      2949;      3111;
        32;     800,0;;      5120;     40782;      3075;      3236;
        33;     825,0;;      4445;     43523;      3194;      3271;
        34;     850,0;;      4129;     46201;      3202;      3146;
        35;     875,0;;      3970;     48769;      3134;      3021;
        36;     900,0;;      4132;     51232;      3034;      2896;
        37;     925,0;;      4060;     53593;      2921;      2771;
        38;     950,0;;      4141;     55850;      2803;      2646;
        39;     975,0;;      4293;     58004;      2681;      2522;
        40;    1000,0;;      4258;     60056;      2559;      2397;
        41;    1025,0;;      3924;     62005;      2437;      2272;
        42;    1050,0;;      4056;     63849;      2311;      2147;
        43;    1075,0;;      4090;     65585;      2183;      2022;
        44;    1100,0;;      4207;     67218;      2058;      1897;
        45;    1125,0;;      4439;     68746;      1932;      1773;
        46;    1150,0;;      4150;     70174;      1810;      1648;
        47;    1175,0;;      4176;     71498;      1686;      1523;
        48;    1200,0;;      3934;     72719;      1563;      1398;
        49;    1225,0;;      3792;     73833;      1436;      1273;
        50;    1250,0;;      3994;     74842;      1310;      1148;
        51;    1275,0;;      4110;     75745;      1184;      1024;
        52;    1300,0;;      4202;     76547;      1060;       899;
        53;    1325,0;;      4145;     77247;       937;       774;
        54;    1350,0;;      3893;     77843;       813;       649;
        55;    1375,0;;      3955;     78334;       687;       524;
        56;    1400,0;;      3966;     78718;       561;       399;
        57;    1425,0;;      3942;     79000;       435;       275;
        58;    1450,0;;      4186;     79176;       310;       150;
        59;    1475,0;;      4235;     79250;       186;        25;
        60;    1500,0;;      4169;     79254;        87;         0;
        61;    1525,0;;      4171;     79254;        39;         0;
        62;    1550,0;;      4170;     79254;        18;         0;
        63;    1575,0;;      4170;     79254;         8;         0;
        64;    1600,0;;      4170;     79254;         4;         0;
        65;    1625,0;;      4169;     79254;         2;         0;
        66;    1650,0;;      4170;     79254;         1;         0;
        67;    1675,0;;      4170;     79254;         0;         0;
        68;    1700,0;;      4170;     79254;         0;         0;
        69;    1725,0;;      4170;     79254;         0;         0;
        70;    1750,0;;      4170;     79254;         0;         0;
        71;    1775,0;;      4170;     79254;         0;         0;
        72;    1800,0;;      4170;     79254;         0;         0;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

