Position relative de BB3_Dévidoir<1> / BB3_Porte<1>
a1(rad)
Temps(s)   a1(rad)     
0.000000 0.000000
0.002000 0.000020
0.004000 0.000080
0.006000 0.000179
0.008000 0.000319
0.010000 0.000498
0.012000 0.000717
0.014000 0.000976
0.016000 0.001274
0.018000 0.001613
0.020000 0.001991
0.022000 0.002409
0.024000 0.002868
0.026000 0.003366
0.028000 0.003904
0.030000 0.004482
0.032000 0.005099
0.034000 0.005757
0.036000 0.006455
0.038000 0.007193
0.040000 0.007970
0.042000 0.008788
0.044000 0.009646
0.046000 0.010544
0.048000 0.011482
0.050000 0.012460
0.052000 0.013479
0.054000 0.014537
0.056000 0.015636
0.058000 0.016775
0.060000 0.017954
0.062000 0.019174
0.064000 0.020434
0.066000 0.021734
0.068000 0.023075
0.070000 0.024456
0.072000 0.025878
0.074000 0.027341
0.076000 0.028843
0.078000 0.030387
0.080000 0.031971
0.082000 0.033596
0.084000 0.035261
0.086000 0.036968
0.088000 0.038715
0.090000 0.040503
0.092000 0.042332
0.094000 0.044202
0.096000 0.046113
0.098000 0.048065
0.100000 0.050058
0.102000 0.052092
0.104000 0.054168
0.106000 0.056285
0.108000 0.058443
0.110000 0.060643
0.112000 0.062884
0.114000 0.065166
0.116000 0.067491
0.118000 0.069856
0.120000 0.072264
0.122000 0.074713
0.124000 0.077204
0.126000 0.079737
0.128000 0.082312
0.130000 0.084929
0.132000 0.087588
0.134000 0.090289
0.136000 0.093032
0.138000 0.095818
0.140000 0.098646
0.142000 0.101516
0.144000 0.104429
0.146000 0.107384
0.148000 0.110382
0.150000 0.113423
0.152000 0.116506
0.154000 0.119632
0.156000 0.122801
0.158000 0.126013
0.160000 0.129268
0.162000 0.132567
0.164000 0.135908
0.166000 0.139293
0.168000 0.142721
0.170000 0.146193
0.172000 0.149708
0.174000 0.153266
0.176000 0.156869
0.178000 0.160515
0.180000 0.164204
0.182000 0.167938
0.184000 0.171716
0.186000 0.175538
0.188000 0.179404
0.190000 0.183314
0.192000 0.187268
0.194000 0.191267
0.196000 0.195310
0.198000 0.199398
0.200000 0.203531
0.202000 0.207708
0.204000 0.211930
0.206000 0.216197
0.208000 0.220509
0.210000 0.224865
0.212000 0.229267
0.214000 0.233714
0.216000 0.238207
0.218000 0.242745
0.220000 0.247328
0.222000 0.251957
0.224000 0.256631
0.226000 0.261351
0.228000 0.266117
0.230000 0.270929
0.232000 0.275786
0.234000 0.280690
0.236000 0.285639
0.238000 0.290635
0.240000 0.295677
0.242000 0.300766
0.244000 0.305901
0.246000 0.311082
0.248000 0.316310
0.250000 0.321584
0.252000 0.326906
0.254000 0.332274
0.256000 0.337688
0.258000 0.343150
0.260000 0.348659
0.262000 0.354215
0.264000 0.359818
0.266000 0.365468
0.268000 0.371166
0.270000 0.376911
0.272000 0.382703
0.274000 0.388543
0.276000 0.394430
0.278000 0.400365
0.280000 0.406348
0.282000 0.412378
0.284000 0.418456
0.286000 0.424582
0.288000 0.430756
0.290000 0.436978
0.292000 0.443248
0.294000 0.449567
0.296000 0.455933
0.298000 0.462347
0.300000 0.468810
0.302000 0.475321
0.304000 0.481880
0.306000 0.488488
0.308000 0.495144
0.310000 0.501849
0.312000 0.508602
