Position relative de BB3_Dévidoir_allégé<1> / BB3_Porte<1>
a1(rad)
Temps(s)   a1(rad)     
0.000000 0.000000
0.002000 0.000004
0.004000 0.000017
0.006000 0.000039
0.008000 0.000069
0.010000 0.000107
0.012000 0.000155
0.014000 0.000210
0.016000 0.000275
0.018000 0.000348
0.020000 0.000430
0.022000 0.000520
0.024000 0.000619
0.026000 0.000726
0.028000 0.000842
0.030000 0.000967
0.032000 0.001100
0.034000 0.001242
0.036000 0.001393
0.038000 0.001552
0.040000 0.001720
0.042000 0.001896
0.044000 0.002082
0.046000 0.002275
0.048000 0.002478
0.050000 0.002689
0.052000 0.002909
0.054000 0.003138
0.056000 0.003375
0.058000 0.003621
0.060000 0.003876
0.062000 0.004139
0.064000 0.004412
0.066000 0.004693
0.068000 0.004982
0.070000 0.005281
0.072000 0.005588
0.074000 0.005904
0.076000 0.006229
0.078000 0.006563
0.080000 0.006906
0.082000 0.007257
0.084000 0.007617
0.086000 0.007987
0.088000 0.008365
0.090000 0.008752
0.092000 0.009148
0.094000 0.009552
0.096000 0.009966
0.098000 0.010389
0.100000 0.010821
0.102000 0.011262
0.104000 0.011711
0.106000 0.012170
0.108000 0.012638
0.110000 0.013115
0.112000 0.013601
0.114000 0.014096
0.116000 0.014600
0.118000 0.015114
0.120000 0.015636
0.122000 0.016168
0.124000 0.016709
0.126000 0.017259
0.128000 0.017819
0.130000 0.018387
0.132000 0.018965
0.134000 0.019552
0.136000 0.020149
0.138000 0.020755
0.140000 0.021370
0.142000 0.021995
0.144000 0.022629
0.146000 0.023273
0.148000 0.023926
0.150000 0.024588
0.152000 0.025260
0.154000 0.025942
0.156000 0.026633
0.158000 0.027334
0.160000 0.028045
0.162000 0.028765
0.164000 0.029494
0.166000 0.030234
0.168000 0.030983
0.170000 0.031742
0.172000 0.032511
0.174000 0.033289
0.176000 0.034078
0.178000 0.034876
0.180000 0.035684
0.182000 0.036503
0.184000 0.037331
0.186000 0.038169
0.188000 0.039017
0.190000 0.039875
0.192000 0.040744
0.194000 0.041622
0.196000 0.042511
0.198000 0.043410
0.200000 0.044319
0.202000 0.045238
0.204000 0.046168
0.206000 0.047108
0.208000 0.048058
0.210000 0.049019
0.212000 0.049990
0.214000 0.050972
0.216000 0.051964
0.218000 0.052967
0.220000 0.053980
0.222000 0.055004
0.224000 0.056038
0.226000 0.057084
0.228000 0.058140
0.230000 0.059207
0.232000 0.060285
