DELTALAB	EX1100									
Param?tres de l'expÿrience										
Rouleau	essai sans rouleau									
Angle	6									
Longueur course	0.67									
Masse totale plateau	20.572									
Masse des halt?res	18									
Hauteur Saillie	3									
Date 	25/11/2015									
										
t(s)	Xp(m)	Vp(m/s)	w(rad)	W(rad/s)	N(N)	T(N)	Ec(J)	Ep(J)	En(J) 	Ratio(E)
0.00154	-0.0002	0	0.0025	0	0	-0.24	0	-0.0042	-0.0042	100
0.00372	-0.0004	-0.0919	0.0025	0	-0.24	-0.49	0.0868	-0.0084	0.0784	-928.309
0.00594	-0.0006	-0.0902	0.0025	0	-0.24	-0.49	0.0837	-0.0127	0.0711	-561.274
0.00808	-0.0008	-0.0936	0.0025	0	0	-0.24	0.09	-0.0169	0.0732	-433.374
0.01022	-0.001	-0.0936	0.0025	0	-0.73	-0.73	0.09	-0.0211	0.0689	-326.699
0.01236	-0.0012	-0.0936	0.0025	0	0	0	0.09	-0.0253	0.0647	-255.583
0.01445	-0.0014	-0.0953	0.0025	0	-0.24	-0.24	0.0935	-0.0295	0.0639	-216.395
0.01655	-0.0016	-0.0953	0.0025	0	-0.98	-0.73	0.0935	-0.0338	0.0597	-176.846
0.01865	-0.0018	-0.0953	0.0025	0	-0.49	-0.73	0.0935	-0.038	0.0555	-146.085
0.02071	-0.002	-0.094	0.0025	0	0.24	0	0.0908	-0.0422	0.0486	-115.116
0.02277	-0.0022	-0.0945	0.0025	0	-0.73	-0.98	0.0919	-0.0464	0.0455	-98.007
0.02475	-0.0024	-0.0957	0.0025	0	-0.24	-0.49	0.0943	-0.0506	0.0436	-86.121
0.02673	-0.0026	-0.0965	0.0025	0	0.24	0	0.0959	-0.0549	0.041	-74.735
0.02867	-0.0028	-0.0976	0.0025	0	-0.98	-1.22	0.0979	-0.0591	0.0389	-65.754
0.03061	-0.003	-0.0986	0.0025	0	-0.49	-0.49	0.1001	-0.0633	0.0368	-58.078
0.03251	-0.0032	-0.0997	0.0025	0	0.49	0.49	0.1023	-0.0675	0.0348	-51.466
0.03445	-0.0034	-0.1006	0.0025	0	-0.24	-0.24	0.1041	-0.0718	0.0324	-45.09
0.03631	-0.0036	-0.102	0.0025	0	-0.98	-0.49	0.1069	-0.076	0.031	-40.741
0.03821	-0.0038	-0.1029	0.0025	0	0	0	0.1089	-0.0802	0.0287	-35.758
0.04008	-0.004	-0.1041	0.0025	0	0.24	0	0.1114	-0.0844	0.027	-31.938
0.0419	-0.0042	-0.105	0.0025	0	-0.49	-0.73	0.1134	-0.0886	0.0248	-27.988
0.04368	-0.0044	-0.1062	0.0025	0	-0.49	-0.73	0.1161	-0.0929	0.0233	-25.041
