     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      -0.5      -1.5       7.1      1600      0.00         1
        10      -0.4      -1.3       6.4      1700      0.32         1
        27      -0.2      -1.4       8.6      2150      0.18         4
        44       0.2      -1.2       9.9      2800      0.29        12
        63       0.8      -1.1      13.4      3450      0.36        27
        83       1.5      -0.6      14.7      3600      0.49        45
       102       2.3       0.2      15.0      3450      0.62        59
       121       3.3       1.2      14.5      3250      0.73        69
       138       4.5       2.3      15.2      3250      0.77        79
       157       5.9       3.6      15.8      3200      1.13        88
       178       7.2       4.8      17.0      3250      1.01        99
       196       9.3       7.2      15.2      2900      1.11       108
       222      11.0       8.7      16.7      2900      1.17       113
       241      12.5      10.1      17.5      2900      1.34       118
       260      14.0      11.6      17.0      2800      1.27       123
       277      15.7      13.5      15.8      2600      1.42       127
       297      17.2      14.9      16.7      2700      1.37       132
       315      18.9      16.8      15.5      2450      1.40       135
       335      20.5      18.3      15.0      2200      1.50       132
       352      21.9      19.7      15.6      2300      1.43       131
       369      23.6      21.5      15.2      2250      1.41       133
       390      25.3      23.1      16.0      2350      1.45       137
       410      26.9      24.6      16.2      2350      1.46       141
       428      28.4      26.2      15.6      2200      1.52       143
       445      29.9      27.6      15.8      2250      1.49       147
       462      31.6      29.3      16.0      2100      1.45       151
       482      33.3      31.0      16.2      2050      1.51       152
       503      34.8      32.6      15.6      2000      1.52       154
       520      36.3      34.2      15.2      1950      1.50       154
       537      38.0      35.7      16.0      2000      1.44       157
       558      39.7      37.5      15.5      1850      1.52       159
       578      41.2      38.9      16.4      2050      1.46       164
       595      42.7      40.6      15.2      1800      1.52       164
       613      44.2      42.0      15.8      1850      1.49       164
       631      45.9      43.7      16.0      1850      1.51       168
       650      47.6      45.2      16.8      1950      1.49       172
       669      49.1      46.9      15.6      1700      1.55       176
       688      50.6      48.5      15.2      1650      1.44       176
       705      52.3      50.2      15.3      1650      1.49       179
       726      53.9      51.6      16.2      1650      1.51       180
       743      55.4      53.1      16.4      1650      1.47       183
       761      56.9      54.7      15.2      1550      1.56       183
       779      58.4      56.1      16.0      1550      1.53       186
       796      60.1      57.9      15.5      1500      1.48       185
       816      61.8      59.7      15.0      1400      1.46       185
       835      63.3      61.1      15.8      1550      1.53       186
       854      64.8      62.6      16.0      1350      1.52       187
       871      66.5      64.2      16.2      1400      1.46       188
       890      68.0      65.9      14.9      1250      1.56       187
       909      69.5      67.3      15.6      1400      1.47       185
       926      71.2      69.1      15.2      1300      1.53       185
       946      72.7      70.6      15.3      1500      1.44       188
       964      74.4      72.2      15.5      1400      1.46       194
       984      75.9      73.6      16.4      1400      1.57       198
      1001      77.4      75.0      17.1      1400      1.50       205
      1018      79.1      76.9      16.0      1250      1.52       209
      1039      80.7      78.6      14.9      1050      1.52       207
      1056      82.0      80.1      13.6       700      1.45       197
      1075      83.5      81.7      12.7       500      1.51       182
      1095      84.7      83.1      11.4       450      1.36       168
      1111      86.0      84.6       9.5       350      1.29       150
      1131      86.9      85.7       8.2       300      1.25       133
      1150      87.7      86.8       6.8       250      1.10       117
      1167      88.5      87.8       4.7       150      0.98        98
      1186      89.0      88.4       4.2       100      0.88        79
      1207      89.4      89.0       2.7        50      0.75        62
      1224      89.6      89.5       1.1      -100      0.62        44
      1243      89.7      89.7      -0.1      -200      0.54        24
      1262      89.7      89.8      -0.8      -100      0.40        12
      1280      89.7      90.0      -2.1         0      0.31         5
      1297      89.7      89.9      -1.4        50      0.28         2
      1315      89.7      89.8      -0.8        50      0.22         1
      1333      89.7      89.9      -1.4        50      0.15         1
      1352      89.7      89.9      -1.4        50      0.15         1
      1369      89.7      89.8      -0.8        50      0.14         1
      1390      89.7      89.9      -1.4        50      0.08         2
      1407      89.7      90.0      -2.1        50      0.08         1
      1426      89.7      89.9      -1.4        50      0.08         1
      1446      89.7      89.9      -1.4        50      0.02         1
      1465      89.7      90.0      -2.1        50      0.09         1
      1484      89.7      89.8      -0.8        50     -0.17         2
