     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      89.7      89.8       0.8        50      0.00         1
        10      89.6      89.8      -1.4         0      0.00         1
        27      89.4      89.9      -4.0      -450     -0.08        -9
        48      88.9      89.9      -7.1     -1100     -0.18       -34
        68      88.4      89.6      -8.2     -1300     -0.28       -60
        85      87.6      89.0      -9.7     -1350     -0.38       -87
       104      86.7      88.2     -11.0     -1250     -0.50      -109
       125      85.6      87.3     -12.2     -1250     -0.67      -128
       145      84.3      86.2     -13.4     -1250     -0.75      -148
       164      82.8      84.8     -13.8     -1200     -1.01      -164
       185      81.2      83.4     -15.3     -1100     -0.96      -179
       205      79.2      81.3     -14.9      -900     -1.16      -185
       231      77.7      79.7     -14.3      -850     -1.15      -189
       248      76.0      78.0     -14.5      -900     -1.27      -195
       269      74.4      76.4     -14.0      -750     -1.29      -198
       286      72.7      74.8     -14.9      -800     -1.39      -202
       306      71.0      73.2     -15.0      -700     -1.40      -204
       325      69.4      71.3     -13.8      -600     -1.41      -201
       346      67.7      69.4     -12.7      -400     -1.46      -193
       366      66.0      67.8     -12.9      -450     -1.43      -187
       385      64.3      66.0     -12.3      -450     -1.43      -180
       406      62.6      64.3     -12.5      -500     -1.48      -179
       426      60.9      62.7     -13.4      -700     -1.42      -182
       445      59.2      61.0     -12.9      -550     -1.53      -185
       466      57.5      59.4     -13.6      -650     -1.49      -187
       485      55.8      57.4     -11.9      -400     -1.51      -184
       505      54.1      55.8     -12.0      -400     -1.47      -179
       524      52.4      54.1     -12.2      -400     -1.50      -177
       544      50.7      52.5     -13.0      -550     -1.48      -181
       565      49.0      50.6     -11.9      -350     -1.54      -179
       585      47.3      49.0     -12.0      -350     -1.49      -178
       604      45.6      47.1     -10.9      -300     -1.52      -174
       625      43.9      45.4     -11.0      -250     -1.49      -171
       645      42.2      43.7     -10.5      -250     -1.55      -168
       664      40.5      42.1     -11.4      -250     -1.52      -166
       683      38.8      40.2     -10.2      -200     -1.55      -164
       704      37.1      38.4      -9.7      -200     -1.56      -164
       724      35.4      36.6      -8.6      -150     -1.48      -162
       743      33.7      34.8      -8.1      -100     -1.56      -160
       764      32.2      33.3      -8.2        50     -1.58      -155
       782      30.5      31.6      -7.7         0     -1.52      -151
       801      28.8      29.7      -6.6       150     -1.54      -147
       820      27.1      28.2      -8.1         0     -1.52      -146
       841      25.4      26.3      -6.9       150     -1.55      -144
       861      23.9      24.7      -5.7       150     -1.48      -140
       878      22.2      23.1      -6.6       150     -1.56      -138
       899      20.6      21.5      -6.1       250     -1.56      -133
       916      18.9      19.8      -6.2       150     -1.57      -133
       935      17.2      18.1      -5.7       200     -1.54      -132
       955      15.5      16.2      -4.6       300     -1.49      -129
       976      13.8      14.4      -4.0       300     -1.56      -125
       996      12.3      12.9      -4.2       300     -1.54      -123
      1014      10.6      11.2      -3.8       350     -1.59      -122
      1034       8.9       9.4      -3.3       400     -1.52      -121
      1053       7.4       7.5      -0.7      1350     -1.41      -104
      1073       5.9       6.0      -0.7      1350     -1.37       -83
      1092       4.6       4.8      -1.4       750     -1.34       -79
      1111       3.4       3.6      -1.6       650     -1.22       -78
      1130       2.3       2.3       0.0      1150     -1.18       -69
      1151       1.5       1.3       1.4      1150     -1.09       -60
      1168       0.8       0.4       3.3      1250     -0.96       -51
      1185       0.3      -0.4       4.4      1650     -0.84       -37
      1205      -0.1      -0.9       5.6      1850     -0.66       -22
      1223      -0.4      -1.3       6.4      1800     -0.52        -9
      1243      -0.5      -1.3       5.7      1650     -0.45        -1
      1260      -0.5      -1.2       5.1      1750     -0.38         1
      1279      -0.5      -1.3       5.7      1550     -0.28         1
      1296      -0.5      -1.4       6.4      1650     -0.23         1
      1315      -0.5      -1.3       5.7      1650     -0.21         1
      1334      -0.5      -1.3       5.7      1600     -0.14         2
      1354      -0.5      -1.4       6.4      1650     -0.12         1
      1371      -0.5      -1.3       5.7      1600     -0.09         1
      1390      -0.5      -1.3       5.7      1600     -0.08         1
      1409      -0.5      -1.3       5.7      1600     -0.06         1
      1426      -0.5      -1.3       5.7      1650     -0.05         1
      1443      -0.5      -1.3       5.7      1700     -0.06         1
      1462      -0.5      -1.3       5.7      1650     -0.04         2
      1479      -0.5      -1.4       6.4      1650     -0.10         1
      1497      -0.5      -1.4       6.4      1650      0.00         1
