     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      -0.7      -1.5       5.7      1600      0.00         1
        10      -0.7      -1.5       5.9      1650      0.00         1
        30      -0.6      -1.4       5.6      1650      0.00         1
        50      -0.6      -1.5       6.6      1800      0.00         1
        66      -0.5      -1.5       7.1      1950      0.00         1
        85      -0.4      -1.5       7.7      2150      0.03         3
       103      -0.3      -1.5       8.4      2350      0.01         4
       119      -0.2      -1.4       8.8      2400      0.10         6
       140      -0.0      -1.4       9.7      2600      0.05        10
       158       0.1      -1.0       8.2      2350      0.15        12
       176       0.3      -1.0       9.4      2550      0.11        14
       193       0.5      -0.7       8.2      2400      0.14        15
       211       0.7      -0.6       9.0      2350      0.17        16
       229       0.9      -0.4       9.2      2350      0.20        17
       246       1.2      -0.1       9.2      2300      0.23        17
       265       1.5       0.3       8.6      2100      0.19        16
       283       1.8       0.7       7.9      2350      0.23        17
       301       2.1       0.7       9.5      2450      0.23        19
       321       2.4       1.1       9.2      2450      0.26        21
       339       2.8       1.4       9.7      2450      0.26        22
       357       3.1       1.8       9.5      2450      0.33        25
       374       3.5       2.0      10.2      2500      0.30        28
       392       3.9       2.6       9.4      2350      0.37        30
       411       4.3       2.9      10.2      2350      0.32        30
       429       4.8       3.4       9.4      2300      0.38        30
       447       5.3       3.7      10.9      2500      0.38        33
       467       5.7       4.3      10.2      2450      0.49        35
       485       6.2       4.7      10.4      2450      0.43        38
       503       6.9       5.6       9.2      2050      0.44        33
       529       7.5       6.1       9.4      2050      0.44        32
       548       8.0       6.6       9.5      2250      0.45        33
       566       8.5       7.1      10.4      2400      0.47        37
       586       9.0       7.6       9.9      2350      0.51        40
       604       9.5       8.2       9.5      2150      0.43        40
       622      10.1       8.8       8.8      2150      0.50        40
       642      10.6       9.1      10.5      2300      0.51        41
       658      11.1       9.7      10.2      2300      0.52        44
       676      11.6      10.3       9.0      2000      0.51        43
       694      12.2      10.9       9.2      1950      0.46        39
       714      12.8      11.4       9.2      1950      0.47        35
       734      13.3      11.8      10.2      2200      0.51        37
       752      13.8      12.3      10.4      2300      0.50        40
       770      14.3      12.9       9.9      2100      0.47        43
       789      14.8      13.5       9.4      2050      0.52        42
       807      15.3      13.9      10.4      2150      0.50        43
       825      15.9      14.5       9.7      2150      0.54        46
       845      16.4      15.1       9.4      1950      0.53        48
       863      17.0      15.7       8.8      1900      0.49        46
       881      17.5      16.3       8.8      1750      0.51        43
       902      18.0      16.8       9.0      1800      0.49        40
