a1(rad)
Temps(s)   a1(rad)     
0.000000 0.000000
0.003920 -0.002648
0.007840 -0.005288
0.011760 -0.007921
0.015680 -0.010546
0.019600 -0.013164
0.023520 -0.015774
0.027440 -0.018377
0.031360 -0.020973
0.035280 -0.023562
0.039200 -0.026143
0.043120 -0.028718
0.047040 -0.031285
0.050960 -0.033846
0.054880 -0.036400
0.058800 -0.038947
0.062720 -0.041487
0.066640 -0.044021
0.070560 -0.046547
0.074480 -0.049068
0.078400 -0.051582
0.082320 -0.054089
0.086240 -0.056590
0.090160 -0.059085
0.094080 -0.061573
0.098000 -0.064055
0.101920 -0.066531
0.105840 -0.069001
0.109760 -0.071465
0.113680 -0.073922
0.117600 -0.076374
0.121520 -0.078820
0.125440 -0.081259
0.129360 -0.083693
0.133280 -0.086121
0.137200 -0.088544
0.141120 -0.090960
0.145040 -0.093371
0.148960 -0.095777
0.152880 -0.098176
0.156800 -0.100571
0.160720 -0.102959
0.164640 -0.105342
0.168560 -0.107720
0.172480 -0.110093
0.176400 -0.112460
0.180320 -0.114821
0.184240 -0.117178
0.188160 -0.119529
0.192080 -0.121875
0.196000 -0.124216
0.199920 -0.126552
0.203840 -0.128883
0.207760 -0.131208
0.211680 -0.133529
0.215600 -0.135845
0.219520 -0.138156
0.223440 -0.140462
0.227360 -0.142763
0.231280 -0.145059
0.235200 -0.147350
0.239120 -0.149637
0.243040 -0.151919
0.246960 -0.154196
0.250880 -0.156469
0.254800 -0.158736
0.258720 -0.161000
0.262640 -0.163258
0.266560 -0.165513
0.270480 -0.167762
0.274400 -0.170008
0.278320 -0.172248
0.282240 -0.174485
0.286160 -0.176717
0.290080 -0.178944
0.294000 -0.181168
0.297920 -0.183386
0.301840 -0.185601
0.305760 -0.187812
0.309680 -0.190018
0.313600 -0.192220
0.317520 -0.194418
0.321440 -0.196611
0.325360 -0.198801
0.329280 -0.200986
0.333200 -0.203168
0.337120 -0.205345
0.341040 -0.207518
0.344960 -0.209688
0.348880 -0.211853
0.352800 -0.214015
0.356720 -0.216172
0.360640 -0.218326
0.364560 -0.220476
0.368480 -0.222622
0.372400 -0.224764
0.376320 -0.226902
0.380240 -0.229037
0.384160 -0.231168
0.388080 -0.233295
0.392000 -0.235418
0.395920 -0.237538
0.399840 -0.239654
0.403760 -0.241766
0.407680 -0.243875
0.411600 -0.245980
0.415520 -0.248082
0.419440 -0.250180
0.423360 -0.252274
0.427280 -0.254365
0.431200 -0.256452
0.435120 -0.258536
0.439040 -0.260617
0.442960 -0.262694
0.446880 -0.264768
0.450800 -0.266838
0.454720 -0.268905
0.458640 -0.270968
0.462560 -0.273029
0.466480 -0.275085
0.470400 -0.277139
0.474320 -0.279189
0.478240 -0.281236
0.482160 -0.283280
0.486080 -0.285320
0.490000 -0.287358
0.493920 -0.289392
0.497840 -0.291423
0.501760 -0.293451
0.505680 -0.295475
0.509600 -0.297497
0.513520 -0.299515
0.517440 -0.301530
0.521360 -0.303542
0.525280 -0.305552
0.529200 -0.307558
0.533120 -0.309561
0.537040 -0.311561
0.540960 -0.313558
0.544880 -0.315552
0.548800 -0.317543
0.552720 -0.319531
0.556640 -0.321516
0.560560 -0.323498
0.564480 -0.325478
0.568400 -0.327454
0.572320 -0.329428
0.576240 -0.331399
0.580160 -0.333367
0.584080 -0.335332
0.588000 -0.337294
0.591920 -0.339253
0.595840 -0.341210
0.599760 -0.343164
0.603680 -0.345115
0.607600 -0.347063
0.611520 -0.349009
0.615440 -0.350952
0.619360 -0.352892
0.623280 -0.354829
0.627200 -0.356764
0.631120 -0.358696
0.635040 -0.360626
0.638960 -0.362553
0.642880 -0.364477
0.646800 -0.366398
0.650720 -0.368317
0.654640 -0.370234
0.658560 -0.372147
0.662480 -0.374059
0.666400 -0.375967
0.670320 -0.377874
0.674240 -0.379777
0.678160 -0.381678
0.682080 -0.383577
0.686000 -0.385473
0.689920 -0.387366
0.693840 -0.389258
0.697760 -0.391146
0.701680 -0.393033
0.705600 -0.394916
0.709520 -0.396798
0.713440 -0.398677
0.717360 -0.400553
0.721280 -0.402427
0.725200 -0.404299
0.729120 -0.406168
0.733040 -0.408035
0.736960 -0.409900
0.740880 -0.411763
0.744800 -0.413623
0.748720 -0.415480
0.752640 -0.417336
0.756560 -0.419189
0.760480 -0.421040
0.764400 -0.422888
0.768320 -0.424734
0.772240 -0.426578
0.776160 -0.428420
0.780080 -0.430260
0.784000 -0.432097
0.787920 -0.433932
0.791840 -0.435765
0.795760 -0.437596
0.799680 -0.439424
0.803600 -0.441250
0.807520 -0.443075
0.811440 -0.444897
0.815360 -0.446717
0.819280 -0.448534
0.823200 -0.450350
0.827120 -0.452163
0.831040 -0.453975
0.834960 -0.455784
0.838880 -0.457591
0.842800 -0.459396
0.846720 -0.461199
0.850640 -0.463000
0.854560 -0.464799
0.858480 -0.466596
0.862400 -0.468390
0.866320 -0.470183
0.870240 -0.471974
0.874160 -0.473763
0.878080 -0.475549
0.882000 -0.477334
0.885920 -0.479117
0.889840 -0.480897
0.893760 -0.482676
0.897680 -0.484453
0.901600 -0.486228
0.905520 -0.488001
0.909440 -0.489772
0.913360 -0.491541
0.917280 -0.493308
0.921200 -0.495073
0.925120 -0.496836
0.929040 -0.498597
0.932960 -0.500357
0.936880 -0.502114
0.940800 -0.503870
0.944720 -0.505624
0.948640 -0.507376
0.952560 -0.509126
0.956480 -0.510874
0.960400 -0.512621
0.964320 -0.514365
0.968240 -0.516108
0.972160 -0.517849
0.976080 -0.519588
0.980000 -0.521325
0.983920 -0.523061
0.987840 -0.524794
0.991760 -0.526526
0.995680 -0.528256
0.999600 -0.529985
1.003520 -0.531711
1.007440 -0.533436
1.011360 -0.535159
1.015280 -0.536881
1.019200 -0.538600
1.023120 -0.540318
1.027040 -0.542034
1.030960 -0.543749
1.034880 -0.545462
1.038800 -0.547173
1.042720 -0.548882
1.046640 -0.550590
1.050560 -0.552296
1.054480 -0.554000
1.058400 -0.555703
1.062320 -0.557404
1.066240 -0.559103
1.070160 -0.560800
1.074080 -0.562496
1.078000 -0.564191
1.081920 -0.565884
1.085840 -0.567575
1.089760 -0.569264
1.093680 -0.570952
1.097600 -0.572638
1.101520 -0.574323
1.105440 -0.576006
1.109360 -0.577688
1.113280 -0.579367
1.117200 -0.581046
1.121120 -0.582722
1.125040 -0.584398
1.128960 -0.586071
1.132880 -0.587743
1.136800 -0.589414
1.140720 -0.591083
1.144640 -0.592750
1.148560 -0.594416
1.152480 -0.596080
1.156400 -0.597743
1.160320 -0.599405
1.164240 -0.601064
1.168160 -0.602723
1.172080 -0.604379
1.176000 -0.606035
1.179920 -0.607689
1.183840 -0.609341
1.187760 -0.610992
1.191680 -0.612641
1.195600 -0.614289
1.199520 -0.615935
1.203440 -0.617580
1.207360 -0.619224
1.211280 -0.620866
1.215200 -0.622507
1.219120 -0.624146
1.223040 -0.625784
1.226960 -0.627420
1.230880 -0.629055
1.234800 -0.630688
1.238720 -0.632321
1.242640 -0.633951
1.246560 -0.635581
1.250480 -0.637208
1.254400 -0.638835
1.258320 -0.640460
1.262240 -0.642084
1.266160 -0.643706
1.270080 -0.645327
1.274000 -0.646947
1.277920 -0.648565
1.281840 -0.650182
1.285760 -0.651797
1.289680 -0.653412
1.293600 -0.655024
1.297520 -0.656636
1.301440 -0.658246
1.305360 -0.659855
1.309280 -0.661462
1.313200 -0.663069
1.317120 -0.664673
1.321040 -0.666277
1.324960 -0.667879
1.328880 -0.669480
1.332800 -0.671080
1.336720 -0.672678
1.340640 -0.674275
1.344560 -0.675871
1.348480 -0.677466
1.352400 -0.679059
1.356320 -0.680651
1.360240 -0.682241
1.364160 -0.683831
1.368080 -0.685419
1.372000 -0.687006
1.375920 -0.688591
1.379840 -0.690176
1.383760 -0.691759
1.387680 -0.693341
1.391600 -0.694921
1.395520 -0.696501
1.399440 -0.698079
1.403360 -0.699656
1.407280 -0.701232
1.411200 -0.702806
1.415120 -0.704380
1.419040 -0.705952
1.422960 -0.707523
1.426880 -0.709092
1.430800 -0.710661
1.434720 -0.712228
1.438640 -0.713794
1.442560 -0.715359
1.446480 -0.716923
1.450400 -0.718486
1.454320 -0.720047
1.458240 -0.721607
1.462160 -0.723166
1.466080 -0.724724
1.470000 -0.726281
1.473920 -0.727837
1.477840 -0.729391
1.481760 -0.730945
1.485680 -0.732497
1.489600 -0.734048
1.493520 -0.735598
1.497440 -0.737147
1.501360 -0.738694
1.505280 -0.740241
1.509200 -0.741786
1.513120 -0.743330
1.517040 -0.744874
1.520960 -0.746416
1.524880 -0.747957
1.528800 -0.749496
1.532720 -0.751035
1.536640 -0.752573
1.540560 -0.754109
1.544480 -0.755645
1.548400 -0.757179
1.552320 -0.758712
1.556240 -0.760245
1.560160 -0.761776
1.564080 -0.763306
1.568000 -0.764835
1.571920 -0.766363
1.575840 -0.767890
1.579760 -0.769416
1.583680 -0.770940
1.587600 -0.772464
1.591520 -0.773987
1.595440 -0.775508
1.599360 -0.777029
1.603280 -0.778548
1.607200 -0.780067
1.611120 -0.781584
1.615040 -0.783101
1.618960 -0.784616
1.622880 -0.786131
1.626800 -0.787644
1.630720 -0.789156
1.634640 -0.790668
1.638560 -0.792178
1.642480 -0.793687
1.646400 -0.795196
1.650320 -0.796703
1.654240 -0.798209
1.658160 -0.799715
1.662080 -0.801219
1.666000 -0.802722
1.669920 -0.804225
1.673840 -0.805726
1.677760 -0.807226
1.681680 -0.808726
1.685600 -0.810224
1.689520 -0.811722
1.693440 -0.813218
1.697360 -0.814714
1.701280 -0.816208
1.705200 -0.817702
1.709120 -0.819195
1.713040 -0.820686
1.716960 -0.822177
1.720880 -0.823667
1.724800 -0.825156
1.728720 -0.826644
1.732640 -0.828131
1.736560 -0.829617
1.740480 -0.831102
1.744400 -0.832586
1.748320 -0.834069
1.752240 -0.835551
1.756160 -0.837033
1.760080 -0.838513
1.764000 -0.839993
1.767920 -0.841471
1.771840 -0.842949
1.775760 -0.844426
1.779680 -0.845902
1.783600 -0.847377
1.787520 -0.848851
1.791440 -0.850324
1.795360 -0.851797
1.799280 -0.853268
1.803200 -0.854739
1.807120 -0.856208
1.811040 -0.857677
1.814960 -0.859145
1.818880 -0.860612
1.822800 -0.862078
1.826720 -0.863543
1.830640 -0.865008
1.834560 -0.866471
1.838480 -0.867934
1.842400 -0.869396
1.846320 -0.870857
1.850240 -0.872317
1.854160 -0.873776
1.858080 -0.875234
1.862000 -0.876692
1.865920 -0.878148
1.869840 -0.879604
1.873760 -0.881059
1.877680 -0.882513
1.881600 -0.883967
1.885520 -0.885419
1.889440 -0.886871
1.893360 -0.888321
1.897280 -0.889771
1.901200 -0.891221
1.905120 -0.892669
1.909040 -0.894116
1.912960 -0.895563
1.916880 -0.897009
1.920800 -0.898454
1.924720 -0.899898
1.928640 -0.901342
1.932560 -0.902784
1.936480 -0.904226
1.940400 -0.905667
1.944320 -0.907107
1.948240 -0.908547
1.952160 -0.909985
1.956080 -0.911423
1.960000 -0.912860
1.963920 -0.914296
1.967840 -0.915732
1.971760 -0.917166
1.975680 -0.918600
1.979600 -0.920033
1.983520 -0.921466
1.987440 -0.922897
1.991360 -0.924328
1.995280 -0.925758
1.999200 -0.927187
2.003120 -0.928616
2.007040 -0.930043
2.010960 -0.931470
2.014880 -0.932896
2.018800 -0.934322
2.022720 -0.935747
2.026640 -0.937170
2.030560 -0.938594
2.034480 -0.940016
2.038400 -0.941438
2.042320 -0.942859
2.046240 -0.944279
2.050160 -0.945698
2.054080 -0.947117
2.058000 -0.948535
2.061920 -0.949952
2.065840 -0.951369
2.069760 -0.952784
2.073680 -0.954199
2.077600 -0.955614
2.081520 -0.957027
2.085440 -0.958440
2.089360 -0.959852
2.093280 -0.961264
2.097200 -0.962675
2.101120 -0.964085
2.105040 -0.965494
2.108960 -0.966903
2.112880 -0.968310
2.116800 -0.969718
2.120720 -0.971124
2.124640 -0.972530
2.128560 -0.973935
2.132480 -0.975339
2.136400 -0.976743
2.140320 -0.978146
2.144240 -0.979548
2.148160 -0.980950
2.152080 -0.982351
2.156000 -0.983751
2.159920 -0.985151
2.163840 -0.986550
2.167760 -0.987948
2.171680 -0.989345
2.175600 -0.990742
2.179520 -0.992138
2.183440 -0.993534
2.187360 -0.994929
2.191280 -0.996323
2.195200 -0.997716
2.199120 -0.999109
2.203040 -1.000502
2.206960 -1.001893
2.210880 -1.003284
2.214800 -1.004674
2.218720 -1.006064
2.222640 -1.007453
2.226560 -1.008841
2.230480 -1.010229
2.234400 -1.011615
2.238320 -1.013002
2.242240 -1.014387
2.246160 -1.015773
2.250080 -1.017157
2.254000 -1.018541
2.257920 -1.019924
2.261840 -1.021306
2.265760 -1.022688
2.269680 -1.024069
2.273600 -1.025450
2.277520 -1.026830
2.281440 -1.028209
2.285360 -1.029588
2.289280 -1.030966
2.293200 -1.032344
2.297120 -1.033721
2.301040 -1.035097
2.304960 -1.036472
2.308880 -1.037847
2.312800 -1.039222
2.316720 -1.040596
2.320640 -1.041969
2.324560 -1.043342
2.328480 -1.044714
2.332400 -1.046085
2.336320 -1.047456
2.340240 -1.048826
2.344160 -1.050196
2.348080 -1.051565
2.352000 -1.052933
