a1(rad)
Temps(s)   a1(rad)     
0.000000 0.000000
0.003920 0.156812
0.007840 0.313623
0.011760 0.470435
0.015680 0.627246
0.019600 0.784058
0.023520 0.940869
0.027440 1.097681
0.031360 1.254492
0.035280 1.411304
0.039200 1.568116
0.043120 1.724927
0.047040 1.881739
0.050960 2.038550
0.054880 2.195362
0.058800 2.352173
0.062720 2.508985
0.066640 2.665796
0.070560 2.822608
0.074480 2.979419
0.078400 3.136231
0.082320 3.293043
0.086240 3.449854
0.090160 3.606666
0.094080 3.763477
0.098000 3.920289
0.101920 4.077100
0.105840 4.233912
0.109760 4.390723
0.113680 4.547535
0.117600 4.704347
0.121520 4.861158
0.125440 5.017970
0.129360 5.174781
0.133280 5.331593
0.137200 5.488404
0.141120 5.645216
0.145040 5.802027
0.148960 5.958839
0.152880 6.115650
0.156800 6.272462
0.160720 6.429274
0.164640 6.586085
0.168560 6.742897
0.172480 6.899708
0.176400 7.056520
0.180320 7.213331
0.184240 7.370143
0.188160 7.526954
0.192080 7.683766
0.196000 7.840578
0.199920 7.997389
0.203840 8.154201
0.207760 8.311012
0.211680 8.467824
0.215600 8.624635
0.219520 8.781447
0.223440 8.938258
0.227360 9.095070
0.231280 9.251881
0.235200 9.408693
0.239120 9.565505
0.243040 9.722316
0.246960 9.879128
0.250880 10.035939
0.254800 10.192751
0.258720 10.349562
0.262640 10.506374
0.266560 10.663185
0.270480 10.819997
0.274400 10.976809
0.278320 11.133620
0.282240 11.290432
0.286160 11.447243
0.290080 11.604055
0.294000 11.760866
0.297920 11.917678
0.301840 12.074489
0.305760 12.231301
0.309680 12.388112
0.313600 12.544924
0.317520 12.701736
0.321440 12.858547
0.325360 13.015359
0.329280 13.172170
0.333200 13.328982
0.337120 13.485793
0.341040 13.642605
0.344960 13.799416
0.348880 13.956228
0.352800 14.113040
0.356720 14.269851
0.360640 14.426663
0.364560 14.583474
0.368480 14.740286
0.372400 14.897097
0.376320 15.053909
0.380240 15.210720
0.384160 15.367532
0.388080 15.524343
0.392000 15.681155
0.395920 15.837967
0.399840 15.994778
0.403760 16.151590
0.407680 16.308401
0.411600 16.465213
0.415520 16.622024
0.419440 16.778836
0.423360 16.935647
0.427280 17.092459
0.431200 17.249271
0.435120 17.406082
0.439040 17.562894
0.442960 17.719705
0.446880 17.876517
0.450800 18.033328
0.454720 18.190140
0.458640 18.346951
0.462560 18.503763
0.466480 18.660574
0.470400 18.817386
0.474320 18.974198
0.478240 19.131009
0.482160 19.287821
0.486080 19.444632
0.490000 19.601444
0.493920 19.758255
0.497840 19.915067
0.501760 20.071878
0.505680 20.228690
0.509600 20.385502
0.513520 20.542313
0.517440 20.699125
0.521360 20.855936
0.525280 21.012748
0.529200 21.169559
0.533120 21.326371
0.537040 21.483182
0.540960 21.639994
0.544880 21.796805
0.548800 21.953617
0.552720 22.110429
0.556640 22.267240
0.560560 22.424052
0.564480 22.580863
0.568400 22.737675
0.572320 22.894486
0.576240 23.051298
0.580160 23.208109
0.584080 23.364921
0.588000 23.521733
0.591920 23.678544
0.595840 23.835356
0.599760 23.992167
0.603680 24.148979
0.607600 24.305790
0.611520 24.462602
0.615440 24.619413
0.619360 24.776225
0.623280 24.933036
0.627200 25.089848
0.631120 25.246660
0.635040 25.403471
0.638960 25.560283
0.642880 25.717094
0.646800 25.873906
0.650720 26.030717
0.654640 26.187529
0.658560 26.344340
0.662480 26.501152
0.666400 26.657964
0.670320 26.814775
0.674240 26.971587
0.678160 27.128398
0.682080 27.285210
0.686000 27.442021
0.689920 27.598833
0.693840 27.755644
0.697760 27.912456
0.701680 28.069267
0.705600 28.226079
0.709520 28.382891
0.713440 28.539702
0.717360 28.696514
0.721280 28.853325
0.725200 29.010137
0.729120 29.166948
0.733040 29.323760
0.736960 29.480571
0.740880 29.637383
0.744800 29.794195
0.748720 29.951006
0.752640 30.107818
0.756560 30.264629
0.760480 30.421441
0.764400 30.578252
0.768320 30.735064
0.772240 30.891875
0.776160 31.048687
0.780080 31.205498
0.784000 31.362310
0.787920 31.519122
0.791840 31.675933
0.795760 31.832745
0.799680 31.989556
0.803600 32.146368
0.807520 32.303179
0.811440 32.459991
0.815360 32.616802
0.819280 32.773614
0.823200 32.930426
0.827120 33.087237
0.831040 33.244049
0.834960 33.400860
0.838880 33.557672
0.842800 33.714483
0.846720 33.871295
0.850640 34.028106
0.854560 34.184918
0.858480 34.341729
0.862400 34.498541
0.866320 34.655353
0.870240 34.812164
0.874160 34.968976
0.878080 35.125787
0.882000 35.282599
0.885920 35.439410
0.889840 35.596222
0.893760 35.753033
0.897680 35.909845
0.901600 36.066657
0.905520 36.223468
0.909440 36.380280
0.913360 36.537091
0.917280 36.693903
0.921200 36.850714
0.925120 37.007526
0.929040 37.164337
0.932960 37.321149
