
===============Init Logging================

03/02/2015 - 16:35:30 	===== Ouverture de session =====
03/02/2015 - 16:42:32 	Début du calcul
03/02/2015 - 16:42:32 	Nombre de positions : 10000
03/02/2015 - 16:42:32 	Simulation inactivée
03/02/2015 - 16:42:32 	Lecture des conditions initiales
03/02/2015 - 16:42:38 	Fin du calcul
03/02/2015 - 16:42:48 	Début du calcul
03/02/2015 - 16:42:48 	Nombre de positions : 1000
03/02/2015 - 16:42:48 	Simulation inactivée
03/02/2015 - 16:42:48 	Lecture des conditions initiales
03/02/2015 - 16:42:50 	Fin du calcul
03/02/2015 - 16:42:54 	Début du calcul
03/02/2015 - 16:42:54 	Nombre de positions : 1000
03/02/2015 - 16:42:54 	Simulation inactivée
03/02/2015 - 16:42:54 	Lecture des conditions initiales
03/02/2015 - 16:42:56 	Fin du calcul
03/02/2015 - 16:43:57 	Début du calcul
03/02/2015 - 16:43:57 	Nombre de positions : 1000
03/02/2015 - 16:43:57 	Simulation inactivée
03/02/2015 - 16:43:57 	Lecture des conditions initiales
03/02/2015 - 16:43:58 	Fin du calcul
03/02/2015 - 16:44:37 	Début du calcul
03/02/2015 - 16:44:37 	Nombre de positions : 1000
03/02/2015 - 16:44:37 	Simulation inactivée
03/02/2015 - 16:44:37 	Lecture des conditions initiales
03/02/2015 - 16:44:37 	Fin du calcul
03/02/2015 - 16:44:55 	Début du calcul
03/02/2015 - 16:44:55 	Nombre de positions : 1000
03/02/2015 - 16:44:55 	Simulation inactivée
03/02/2015 - 16:44:55 	Lecture des conditions initiales
03/02/2015 - 16:44:56 	Fin du calcul
03/02/2015 - 16:45:15 	Début du calcul
03/02/2015 - 16:45:15 	Nombre de positions : 1000
03/02/2015 - 16:45:15 	Simulation inactivée
03/02/2015 - 16:45:15 	Lecture des conditions initiales
03/02/2015 - 16:45:15 	Fin du calcul
03/02/2015 - 16:48:55 	Début du calcul
03/02/2015 - 16:48:55 	Nombre de positions : 1000
03/02/2015 - 16:48:55 	Simulation inactivée
03/02/2015 - 16:48:55 	Lecture des conditions initiales
03/02/2015 - 16:48:56 	Fin du calcul
03/02/2015 - 16:55:10 	Début du calcul
03/02/2015 - 16:55:10 	Nombre de positions : 1000
03/02/2015 - 16:55:10 	Simulation inactivée
03/02/2015 - 16:55:10 	Lecture des conditions initiales
03/02/2015 - 16:55:11 	Fin du calcul
03/02/2015 - 16:55:40 	Début du calcul
03/02/2015 - 16:55:40 	Nombre de positions : 1000
03/02/2015 - 16:55:40 	Simulation inactivée
03/02/2015 - 16:55:40 	Lecture des conditions initiales
03/02/2015 - 16:55:40 	Fin du calcul
03/02/2015 - 17:09:36 	===== Fermeture de session =====

===============Finish Logging================

