Nombre de points: ;175
Temps(s);x(pixels);y(pixels)
0.02814658261989253;103;37
0.09467833828559334;105;36
0.14262156021044833;104;37
0.20656969537587733;63;90
0.27048159058145893;88;112
0.33434249327716675;56;103
0.38240854621637177;48;114
0.4463816965753238;44;119
0.5103500363201368;79;113
0.5743058684681882;80;118
0.6225451035163986;81;110
0.6864120996566826;106;101
0.7502890377328538;84;104
0.8143365922571563;123;103
0.8625270797487578;56;106
0.926327689413923;91;117
0.9902960291587358;56;125
1.0542339016806683;62;127
1.1023230455677406;112;120
1.1663080621082356;79;118
1.230286343788936;108;112
1.2945606385929915;85;110
1.3583041623037069;78;124
1.4063349374058924;100;122
1.4702663957756394;59;121
1.5342469224096047;57;110
1.5982386738098942;74;107
1.6463002368425694;76;99
1.7102804427689253;98;93
1.7742391612854602;111;83
1.8382604177858026;132;92
1.886319735865213;166;78
1.9503830050623696;204;75
2.0143099735255867;143;79
2.078360093710763;182;82
2.126273169120347;197;81
2.1902209835781665;177;88
2.2543871999178986;128;97
2.318255799596229;218;97
2.366157329531879;452;109
2.4302363134018896;174;79
2.4942280648021793;208;94
2.5582599046536276;49;85
2.6061970331339066;65;98
2.670210271944017;113;113
2.734174763197519;87;116
2.7981966611130797;102;109
2.846208193758709;77;109
2.9101973794981246;107;102
2.9741131231950173;95;101
3.0381151372388033;122;100
3.0861645133823266;115;104
3.150234838146887;161;135
3.214221778933038;147;84
3.278133674138619;160;86
3.326154828012527;161;109
3.3901991754607366;194;71
3.454158856100099;211;87
3.518153493868872;212;78
3.566160536607972;209;90
3.6301320834288773;201;75
3.6941199863378555;177;84
3.7581418842534164;188;78
3.8061646416653705;176;87
3.8701679385395935;217;76
3.934146540927903;177;75
3.998136368082537;172;86
4.046081514253048;145;83
4.110138369298019;164;108
4.174089390831932;167;117
4.238047467933248;150;76
4.30207321434012;224;79
4.350064863113975;187;130
4.414127490895913;217;80
4.478119242296202;219;83
4.526116343099415;204;68
4.574121782300468;196;68
4.622043837523111;176;91
4.6700999485264285;186;109
4.7181178953242435;180;87
4.781984570756918;169;121
4.830010855952573;202;67
4.878120525126639;201;69
4.926091327905891;131;62
4.974050905918819;116;69
5.021996372796939;112;64
5.070079102531826;112;68
5.118065299276323;142;70
5.182014717272189;105;75
5.229962429103574;66;84
5.278021747182985;55;80
5.326048353086249;54;87
5.374029739216607;48;77
5.42198739298388;90;80
5.470151261743911;113;90
5.533981697216739;171;86
5.582049032986381;149;86
5.629964353349229;65;83
5.67797107538072;77;91
5.725963365569793;108;78
5.773995423502416;146;83
5.822005673317608;140;101
5.8700980242807725;110;93
5.933933270367739;64;103
5.9819169014513625;79;100
6.029908550225216;133;88
6.077986790053574;97;95
6.126028789922084;62;107
6.174172454102732;22;102
6.221953077269688;22;104
6.270073971210078;21;100
6.337959112986894;20;105
6.384725337985731;19;115
6.43099991821956;17;108
6.479548315403105;15;111
6.527143248864294;14;118
6.576523561586284;12;118
6.622608282915424;13;117
6.686870070122718;16;109
6.751468921027355;110;99
6.814566860320611;57;104
6.862163076612237;94;96
6.926045787425375;115;95
6.9898893719101824;113;90
7.05395232039973;146;91
7.102096625995596;102;107
7.165907177596649;89;106
7.229914643669793;96;103
7.294022811932247;65;107
7.341900609504811;86;107
7.4058397648571805;70;103
7.470022016577376;43;117
7.5337873484055216;90;102
7.581968856084064;93;97
7.645858943172215;116;97
7.70992285378459;90;100
7.774044491766634;79;98
7.8220111253469655;76;95
7.886095561246334;56;102
7.950031188815001;53;105
8.014034164981616;56;102
8.062075202727298;65;104
8.126968142509634;57;106
8.190042349439805;50;116
8.254243202201337;28;110
8.317858763575956;25;117
8.365945983217372;55;109
8.429937413910052;56;111
8.493911526391832;58;117
8.558029957297782;49;124
8.607284873344549;53;124
8.670339196402944;22;119
8.734285086615108;21;120
8.798239315225114;51;109
8.846226794800048;45;104
8.909764103518002;58;102
8.973733084678035;51;98
9.037703348668503;52;99
9.085725464665238;53;101
9.149872438548414;77;85
9.213784333753996;76;85
9.277738562364;80;87
9.325721872740015;81;93
9.389826513218766;55;100
9.453726542242805;32;95
9.517656076366897;34;97
9.565814813805181;38;103
9.629691751881351;38;95
9.693699859369714;33;94
9.75772464365376;29;104
9.80569127723409;82;86
9.869734341851863;55;90
9.933773557978324;51;100
9.997664286481694;54;105
10.045702117151283;31;105
