Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
0;420;420;420;420;420;420
1;419.864;420.109;420.108;419.862;420.028;420.028
2;419.729;420.219;420.215;419.725;420.056;420.056
3;419.593;420.328;420.322;419.587;420.084;420.084
4;419.457;420.436;420.429;419.449;420.112;420.112
5;419.321;420.545;420.536;419.311;420.14;420.139
6;419.184;420.653;420.643;419.172;420.167;420.166
7;419.048;420.762;420.75;419.034;420.194;420.193
8;418.911;420.87;420.856;418.895;420.221;420.22
9;418.774;420.978;420.962;418.757;420.247;420.246
10;418.637;421.085;421.068;418.618;420.274;420.273
11;418.5;421.193;421.174;418.478;420.3;420.299
12;418.362;421.3;421.28;418.339;420.326;420.325
13;418.225;421.408;421.385;418.2;420.352;420.35
14;418.087;421.515;421.49;418.06;420.378;420.376
15;417.949;421.621;421.595;417.92;420.403;420.401
16;417.811;421.728;421.7;417.78;420.429;420.426
17;417.673;421.835;421.805;417.64;420.454;420.451
18;417.535;421.941;421.91;417.5;420.478;420.476
19;417.396;422.047;422.014;417.36;420.503;420.501
20;417.258;422.153;422.118;417.219;420.528;420.525
21;417.119;422.259;422.222;417.078;420.552;420.549
22;416.98;422.364;422.326;416.937;420.576;420.573
23;416.841;422.47;422.43;416.796;420.6;420.597
24;416.702;422.575;422.533;416.655;420.623;420.62
25;416.562;422.68;422.636;416.514;420.647;420.643
26;416.423;422.785;422.739;416.372;420.67;420.666
27;416.283;422.889;422.842;416.231;420.693;420.689
28;416.143;422.994;422.945;416.089;420.716;420.712
29;416.003;423.098;423.048;415.947;420.738;420.734
30;415.862;423.202;423.15;415.805;420.761;420.757
31;415.722;423.306;423.252;415.662;420.783;420.779
32;415.581;423.41;423.354;415.52;420.805;420.801
33;415.441;423.513;423.456;415.377;420.826;420.822
34;415.3;423.617;423.558;415.234;420.848;420.844
35;415.159;423.72;423.659;415.091;420.869;420.865
36;415.018;423.823;423.76;414.948;420.891;420.886
37;414.876;423.926;423.861;414.805;420.911;420.907
38;414.735;424.029;423.962;414.662;420.932;420.927
39;414.593;424.131;424.063;414.518;420.953;420.948
40;414.451;424.233;424.163;414.374;420.973;420.968
41;414.309;424.335;424.264;414.23;420.993;420.988
42;414.167;424.437;424.364;414.086;421.013;421.008
43;414.025;424.539;424.464;413.942;421.033;421.027
44;413.882;424.641;424.564;413.798;421.052;421.047
45;413.74;424.742;424.663;413.653;421.072;421.066
46;413.597;424.843;424.763;413.509;421.091;421.085
47;413.454;424.944;424.862;413.364;421.11;421.103
48;413.311;425.045;424.961;413.219;421.128;421.122
49;413.168;425.146;425.06;413.074;421.147;421.14
50;413.024;425.246;425.158;412.928;421.165;421.159
51;412.881;425.346;425.257;412.783;421.183;421.176
52;412.737;425.446;425.355;412.637;421.201;421.194
53;412.593;425.546;425.453;412.491;421.219;421.212
54;412.449;425.646;425.551;412.346;421.236;421.229
55;412.305;425.745;425.649;412.199;421.253;421.246
