Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
0;420;420;420;420;420;420
1;419.867;420.107;420.105;419.866;420.028;420.028
2;419.735;420.214;420.21;419.731;420.055;420.055
3;419.602;420.32;420.315;419.596;420.082;420.082
4;419.469;420.427;420.42;419.461;420.11;420.109
5;419.336;420.533;420.524;419.326;420.136;420.136
6;419.203;420.639;420.629;419.191;420.163;420.162
7;419.069;420.745;420.733;419.055;420.19;420.189
8;418.935;420.85;420.837;418.92;420.216;420.215
9;418.802;420.956;420.94;418.784;420.242;420.241
10;418.668;421.061;421.044;418.648;420.268;420.267
11;418.534;421.166;421.147;418.512;420.294;420.292
12;418.399;421.271;421.251;418.376;420.319;420.318
13;418.265;421.376;421.354;418.24;420.344;420.343
14;418.13;421.481;421.457;418.103;420.369;420.368
15;417.995;421.585;421.559;417.966;420.394;420.392
16;417.861;421.69;421.662;417.83;420.419;420.417
17;417.725;421.794;421.764;417.693;420.443;420.441
18;417.59;421.898;421.866;417.555;420.468;420.466
19;417.455;422.001;421.968;417.418;420.492;420.49
20;417.319;422.105;422.07;417.281;420.516;420.513
21;417.184;422.208;422.172;417.143;420.539;420.537
22;417.048;422.312;422.273;417.005;420.563;420.56
23;416.912;422.415;422.375;416.867;420.586;420.583
24;416.775;422.517;422.476;416.729;420.609;420.606
25;416.639;422.62;422.577;416.591;420.632;420.629
26;416.503;422.723;422.677;416.452;420.655;420.652
27;416.366;422.825;422.778;416.314;420.677;420.674
28;416.229;422.927;422.878;416.175;420.7;420.696
29;416.092;423.029;422.979;416.036;420.722;420.718
30;415.955;423.131;423.079;415.897;420.744;420.74
31;415.818;423.232;423.178;415.758;420.765;420.761
32;415.68;423.334;423.278;415.618;420.787;420.783
33;415.543;423.435;423.378;415.479;420.808;420.804
34;415.405;423.536;423.477;415.339;420.829;420.825
35;415.267;423.637;423.576;415.199;420.85;420.846
36;415.129;423.738;423.675;415.059;420.871;420.866
37;414.991;423.838;423.774;414.919;420.891;420.887
38;414.852;423.939;423.872;414.779;420.911;420.907
39;414.714;424.039;423.971;414.639;420.931;420.927
40;414.575;424.139;424.069;414.498;420.951;420.946
41;414.436;424.238;424.167;414.357;420.971;420.966
42;414.297;424.338;424.265;414.216;420.99;420.985
43;414.158;424.438;424.362;414.075;421.01;421.004
44;414.018;424.537;424.46;413.934;421.029;421.023
45;413.879;424.636;424.557;413.793;421.048;421.042
46;413.739;424.735;424.654;413.651;421.066;421.061
47;413.599;424.833;424.751;413.509;421.085;421.079
48;413.459;424.932;424.848;413.367;421.103;421.097
49;413.319;425.03;424.945;413.225;421.121;421.115
50;413.179;425.128;425.041;413.083;421.139;421.133
51;413.039;425.226;425.137;412.941;421.157;421.15
52;412.898;425.324;425.233;412.798;421.174;421.168
53;412.757;425.422;425.329;412.656;421.191;421.185
54;412.616;425.519;425.425;412.513;421.208;421.202
55;412.475;425.617;425.52;412.37;421.225;421.219
56;412.334;425.714;425.616;412.227;421.242;421.235
57;412.193;425.811;425.711;412.084;421.258;421.251
58;412.051;425.907;425.806;411.94;421.275;421.268
59;411.91;426.004;425.9;411.797;421.291;421.283
60;411.768;426.1;425.995;411.653;421.307;421.299
61;411.626;426.196;426.089;411.509;421.322;421.315
62;411.484;426.292;426.184;411.365;421.338;421.33
63;411.341;426.388;426.278;411.221;421.353;421.345
64;411.199;426.484;426.371;411.077;421.368;421.36
65;411.056;426.579;426.465;410.932;421.383;421.375
66;410.914;426.674;426.558;410.788;421.397;421.389
67;410.771;426.769;426.652;410.643;421.412;421.404
