Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL03_094.CRB;DL03_094.CRB;VL03_094.CRB;CL03_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
-0,000236;0,681173;0,000000;0,149359
-0,000236;0,681173;0,000000;0,156813
-0,000236;0,681478;0,000000;0,149933
-0,000236;0,681478;0,000000;0,148212
-0,000236;0,681478;0,000000;0,148786
-0,000236;0,681784;0,000000;0,149933
-0,000236;0,681784;0,000000;0,157960
-0,000236;0,681784;0,000000;0,149933
-0,000236;0,682089;0,000000;0,148212
-0,000236;0,682089;0,000000;0,149359
0,003949;10,000000;0,000000;1,737555
0,024317;6,608783;2,729779;1,153305
0,056413;10,000000;5,836574;1,723221
0,102077;10,000000;11,634969;1,722074
0,153276;10,000000;12,828055;1,719207
0,206837;10,000000;13,438914;1,724367
0,257597;10,000000;13,023721;1,720354
0,304999;10,000000;12,326959;1,724367
0,346849;10,000000;11,133873;1,723794
0,386826;10,000000;10,246218;1,718634
0,427359;10,000000;10,064869;1,724367
0,472466;10,000000;11,415441;1,719207
0,524677;10,000000;13,028493;1,722647
0,586811;10,000000;15,109234;1,721501
0,659424;10,000000;17,557445;1,720927
0,743293;10,000000;20,000884;1,723794
0,836781;10,000000;22,348876;1,714621
0,937997;10,000000;24,367577;1,723794
1,043752;10,000000;25,832686;1,722647
1,150976;10,000000;26,963731;1,722647
1,259010;10,000000;27,135535;1,723221
1,367837;10,000000;27,307339;1,718061
1,478182;10,000000;27,631859;1,723221
1,591431;10,000000;28,123410;1,721501
1,708695;10,000000;28,929936;1,719781
1,831494;10,000000;30,008485;1,722074
1,960909;10,000000;31,320879;1,719207
2,096077;10,000000;34,031569;1,721501
2,236174;10,000000;35,167386;1,722074
2,379797;10,000000;35,973912;1,722647
2,525664;10,000000;36,584772;1,723221
2,672764;10,000000;36,875885;1,713474
2,820622;10,000000;37,047689;1,724367
2,970118;10,000000;37,291078;1,721501
3,121841;10,000000;37,711044;1,722074
3,277209;10,000000;39,075934;1,722647
3,437471;10,000000;40,226069;1,715767
3,604331;10,000000;41,638682;1,723221
3,777907;10,000000;43,137197;1,722647
3,958369;10,000000;44,712070;1,718634
4,145006;10,000000;46,215357;1,722074
4,335677;10,000000;47,370264;1,715194
4,528693;10,000000;48,109977;1,724941
4,723346;10,000000;48,949909;1,723221
4,917797;10,000000;48,883096;1,719207
5,112298;10,000000;48,868779;1,722647
5,307677;10,000000;49,073990;1,713474
5,503427;10,000000;49,136031;1,723221
5,701877;10,000000;49,422371;1,722074
5,904461;10,000000;50,295710;1,716914
6,111568;10,000000;51,245406;1,723221
6,324176;10,000000;53,512268;1,716341
6,541222;10,000000;54,528777;1,723221
6,762842;10,000000;55,488017;1,721501
6,988477;10,000000;56,456803;1,718061
7,217454;10,000000;57,306280;1,722647
7,448979;10,000000;57,902822;1,720354
7,681095;10,000000;58,246431;1,723221
7,914172;10,000000;58,408691;1,722074
8,148381;10,000000;58,871608;1,723221
8,384445;10,000000;59,272484;1,723794
8,622045;10,000000;59,721085;1,715767
8,861636;10,000000;59,997880;1,722647
9,104771;10,000000;60,775772;1,723221
9,351399;10,000000;61,591843;1,716341
9,601807;10,000000;62,384051;1,723794
9,854696;10,000000;63,161943;1,722647
10,110538;10,000000;64,369345;1,724367
10,368742;10,000000;64,913392;1,723221
10,628837;10,000000;65,276090;1,722074
10,889184;10,000000;65,490846;1,720354
11,150477;10,000000;65,500390;1,716341
11,413372;10,000000;65,906039;1,723221
11,678259;10,000000;66,278282;1,722647
11,945053;10,000000;66,703021;1,720354
12,214277;10,000000;67,733846;1,720354
12,487095;10,000000;68,516510;1,723794
12,763170;10,000000;69,260996;1,723221
13,042063;10,000000;69,962530;1,722074
13,323606;10,000000;70,506577;1,719207
13,608152;10,000000;71,165160;1,722074
13,894909;10,000000;71,766475;1,723221
14,183049;10,000000;72,172124;1,722647
14,472388;10,000000;72,763895;1,722074
14,763009;10,000000;73,040690;1,720927
15,054559;10,000000;73,274535;1,723794
15,346294;10,000000;73,307941;1,724941
15,639564;10,000000;73,551331;1,722074
15,934877;10,000000;73,947435;1,723221
16,232181;10,000000;74,477165;1,717487
