Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL00_094.CRB;DL00_094.CRB;VL00_094.CRB;CL00_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
-0.002396;0.722373;0;0.1786
-0.002396;0.722373;0;0.178027
-0.002396;0.722373;0;0.18376
-0.002396;0.722373;0;0.1786
-0.002396;0.722373;0;0.185481
-0.002396;0.722373;0;0.179174
-0.002396;0.722373;0;0.1786
-0.002396;0.722373;0;0.188347
-0.002396;0.722373;0;0.177453
-0.002396;0.722373;0;0.179174
0.004911;10;0;1.762209
0.031067;10;6.795815;1.761062
0.073356;10;10.432339;1.759916
0.125061;10;12.808965;1.761636
0.179381;10;13.548678;1.760489
0.231609;10;13.543906;1.762782
0.278758;10;12.479674;1.762782
0.319562;10;11.329539;1.755902
0.355708;10;9.778528;1.762209
0.391281;10;8.991092;1.762782
0.428979;10;9.396741;1.761636
0.474576;10;11.024109;1.762209
0.530314;10;13.295744;1.756476
0.598236;10;15.829858;1.762209
0.678544;10;18.631222;1.762782
0.769753;10;21.365774;1.758196
0.869721;10;23.608775;1.761062
0.974514;10;26.405367;1.754756
1.080962;10;26.763292;1.761062
1.187527;10;26.77761;1.762209
1.293891;10;26.729886;1.763929
1.401283;10;26.868284;1.761062
1.51038;10;27.140307;1.757049
1.623375;10;27.727306;1.762782
1.742377;10;28.815399;1.761636
1.868501;10;31.831519;1.761636
2.001864;10;33.439799;1.761636
2.141235;10;34.819005;1.757049
2.285246;10;35.921416;1.762782
2.432261;10;36.727942;1.759916
2.580204;10;37.085868;1.762782
2.727742;10;37.181315;1.761062
2.875753;10;37.128819;1.757049
3.025502;10;37.649004;1.762209
3.177782;10;38.216913;1.762782
3.334719;10;39.176153;1.761062
3.498677;10;40.731937;1.761062
3.670447;10;42.378395;1.756476
3.850335;10;44.225291;1.761062
4.037917;10;45.99583;1.762209
4.231761;10;47.694783;1.761062
4.428557;10;49.503501;1.761636
4.627547;10;50.038003;1.756476
4.82679;10;50.104816;1.764502
5.024632;10;49.804158;1.764502
5.221699;10;49.608492;1.762782
5.418174;10;49.493956;1.763356
5.615882;10;49.384192;1.757049
5.817437;10;49.870971;1.764502
6.024122;10;52.023297;1.760489
6.237101;10;53.416821;1.758196
6.456544;10;54.910564;1.763929
