Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL02_094.CRB;DL02_094.CRB;VL02_094.CRB;CL02_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
0,000304;0,498672;0,000000;0,117825
0,000304;0,498367;0,000000;0,124132
0,000304;0,498062;0,000000;0,116678
0,000304;0,498062;0,000000;0,118398
0,000304;0,497757;0,000000;0,124132
0,000304;0,497452;0,000000;0,117251
0,000304;0,497147;0,000000;0,116678
0,000304;0,497147;0,000000;0,117251
0,000304;0,496536;0,000000;0,117825
0,000304;10,000000;0,000000;0,123558
0,014327;10,000000;2,586609;1,721501
0,046659;10,000000;6,938985;1,719781
0,093825;10,000000;10,623233;1,720927
0,147234;10,000000;12,913957;1,722074
0,202432;10,000000;13,696621;1,720927
0,254272;10,000000;13,758661;1,720927
0,301725;10,000000;11,868814;1,715767
0,343237;10,000000;10,489607;1,720927
0,381797;10,000000;9,764211;1,721501
0,419074;10,000000;9,415830;1,715767
0,459523;10,000000;9,630586;1,721501
0,507499;10,000000;11,081378;1,715194
0,564604;10,000000;12,875778;1,720354
0,633757;10,000000;15,171274;1,720354
0,715669;10,000000;20,769231;1,715767
0,809190;10,000000;23,374930;1,721501
0,911284;10,000000;25,393630;1,722074
1,018541;10,000000;26,691707;1,716341
1,126997;10,000000;27,216665;1,721501
1,235166;10,000000;27,293022;1,718061
1,342997;10,000000;27,102129;1,720354
1,451064;10,000000;27,130763;1,720927
1,561123;10,000000;27,717761;1,720927
1,674591;10,000000;28,438384;1,722074
1,793728;10,000000;29,712600;1,715767
1,920004;10,000000;31,239749;1,722074
2,053367;10,000000;32,828939;1,717487
2,192265;10,000000;34,270186;1,719781
2,335584;10,000000;35,396459;1,721501
2,481891;10,000000;36,284114;1,716341
2,629209;10,000000;37,042917;1,721501
2,776528;10,000000;37,047689;1,720354
2,925045;10,000000;37,229038;1,719207
3,075469;10,000000;37,634687;1,719781
3,229149;10,000000;38,321904;1,715767
3,387589;10,000000;39,152292;1,720927
3,552879;10,000000;40,431279;1,720354
3,725392;10,000000;42,039558;1,719781
3,905331;10,000000;45,356336;1,721501
4,092424;10,000000;46,931209;1,712901
4,284225;10,000000;48,133839;1,723221
4,478608;10,000000;48,692203;1,721501
4,674409;10,000000;49,112169;1,719781
4,869855;10,000000;49,212388;1,722074
5,064204;10,000000;49,040584;1,716914
5,258807;10,000000;48,835373;1,721501
5,453865;10,000000;49,035811;1,720354
5,650897;10,000000;49,465322;1,722074
5,852199;10,000000;50,410246;1,722074
