Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL06_094.CRB;DL06_094.CRB;VL06_094.CRB;CL06_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
0,001384;0,024110;0,000000;0,054182
0,001384;0,024110;0,000000;0,058196
0,001384;0,024110;0,000000;0,053036
0,001384;0,024110;0,000000;0,060489
0,001384;0,024110;0,000000;0,052462
0,001384;0,024110;0,000000;0,054756
0,001384;0,024110;0,000000;0,058769
0,001384;0,024110;0,000000;0,052462
0,001384;0,024110;0,000000;0,057622
0,001384;10,000000;0,000000;0,052462
0,013416;10,000000;2,720235;1,754182
0,046288;10,000000;7,430536;1,752462
0,095884;10,000000;11,563384;1,753036
0,152617;10,000000;13,787295;1,749595
0,211292;10,000000;14,665406;1,753609
0,266203;10,000000;14,527008;1,752462
0,315039;10,000000;13,434142;1,754182
0,357244;10,000000;10,513469;1,752462
0,395972;10,000000;9,764211;1,748449
0,433131;10,000000;9,339473;1,752462
0,474474;10,000000;9,888292;1,753609
0,524087;10,000000;11,630197;1,750169
0,585225;10,000000;13,734800;1,752462
0,659357;10,000000;16,727058;1,747875
0,746533;10,000000;19,547512;1,752462
0,844982;10,000000;24,925941;1,754182
0,951210;10,000000;26,643984;1,752462
1,061758;10,000000;27,689127;1,754182
1,173268;10,000000;27,956378;1,751315
1,284711;10,000000;28,027963;1,753036
1,396339;10,000000;28,070914;1,754182
1,508557;10,000000;28,109093;1,753036
1,622751;10,000000;28,314304;1,753036
1,741196;10,000000;29,841453;1,749022
1,866037;10,000000;31,258838;1,753036
1,998658;10,000000;33,034150;1,754182
2,138687;10,000000;34,723559;1,750169
2,284824;10,000000;36,126627;1,753036
2,436041;10,000000;37,472427;1,749595
2,590009;10,000000;38,336221;1,753036
2,743909;10,000000;38,780049;1,753609
2,897488;10,000000;38,589155;1,751889
3,051810;10,000000;38,780049;1,753036
3,207043;10,000000;38,970943;1,752462
3,365111;10,000000;39,438632;1,752462
3,529069;10,000000;40,598311;1,754756
3,700417;10,000000;42,101599;1,755329
3,879917;10,000000;43,810097;1,753609
4,068394;10,000000;45,757213;1,746729
4,264363;10,000000;49,388965;1,754182
4,465007;10,000000;50,391156;1,755329
4,669279;10,000000;51,207227;1,749022
4,874850;10,000000;51,703550;1,753036
5,079645;10,000000;51,569925;1,754756
5,283343;10,000000;51,331308;1,753609
5,485927;10,000000;51,092691;1,753036
5,688225;10,000000;50,877935;1,749595
5,893037;10,000000;51,507884;1,753609
6,101865;10,000000;52,438491;1,748449
6,316397;10,000000;53,655438;1,753036
6,537459;10,000000;55,130092;1,753609
6,764917;10,000000;56,533160;1,746155
6,999109;10,000000;58,045993;1,751889
7,238835;10,000000;59,492012;1,746729
7,482645;10,000000;60,546700;1,752462
7,728041;10,000000;61,720696;1,755329
7,974264;10,000000;61,902045;1,748449
8,220741;10,000000;61,954540;1,752462
8,467571;10,000000;62,007036;1,747875
8,714655;10,000000;62,069077;1,753609
8,963426;10,000000;62,264743;1,752462
9,215201;10,000000;62,770611;1,747875
9,471516;10,000000;63,581909;1,755329
9,732184;10,000000;65,595837;1,753609
9,996834;10,000000;66,426225;1,750169
10,265788;10,000000;67,466595;1,754756
10,538370;10,000000;68,325617;1,748449
10,812892;10,000000;68,855347;1,753609
11,088157;10,000000;69,136915;1,746155
11,364519;10,000000;69,323036;1,752462
11,642586;10,000000;69,547336;1,754756
11,921597;10,000000;70,182058;1,750169
12,202414;10,000000;70,568617;1,754756
12,486437;10,000000;71,203339;1,748449
12,774561;10,000000;72,124401;1,753036
13,065891;10,000000;72,964333;1,751889
13,361152;10,000000;73,708818;1,747302
13,660464;10,000000;74,629880;1,753609
13,963556;10,000000;75,531853;1,753036
14,268386;10,000000;76,653353;1,754756
14,575157;10,000000;77,087636;1,755329
14,883531;10,000000;77,474196;1,747302
15,191938;10,000000;77,583960;1,754182
15,500717;10,000000;77,545781;1,751315
15,810795;10,000000;77,741447;1,753609
16,122797;10,000000;78,118462;1,751889
16,436317;10,000000;78,500249;1,753609
16,753449;10,000000;79,741058;1,754756
17,074277;10,000000;80,604852;1,749022
17,398226;10,000000;81,292069;1,754182
17,725551;10,000000;82,050872;1,752462
18,056706;10,000000;82,881259;1,751889
18,390392;10,000000;83,635289;1,754182
18,725614;10,000000;84,012304;1,752462
19,062709;10,000000;84,427498;1,753609
19,401086;10,000000;85,047902;1,752462
19,738991;10,000000;84,957228;1,746155
20,077892;10,000000;85,105170;1,753036
20,418159;10,000000;85,453551;1,752462
20,759237;10,000000;85,620583;1,754756
21,102711;10,000000;86,021460;1,756476
21,449424;10,000000;86,675271;1,748449
21,798534;10,000000;87,372033;1,755902
22,150547;10,000000;88,541256;1,748449
22,505816;10,000000;89,304831;1,749595
22,863026;10,000000;89,710480;1,759916
23,221654;10,000000;90,006365;1,747875
23,582509;10,000000;90,493144;1,754756
23,943701;10,000000;90,879704;1,753036
24,305029;10,000000;90,765168;1,752462
24,667807;10,000000;90,941744;1,755902
25,030941;10,000000;91,271036;1,747302
25,396031;10,000000;91,781676;1,758196
25,764598;10,000000;92,483211;1,750169
26,135477;10,000000;93,022485;1,755329
26,509461;10,000000;93,709702;1,751889
26,887511;10,000000;94,511456;1,747875
27,267317;10,000000;95,270258;1,747302
27,649468;10,000000;95,623411;1,761636
28,033357;10,000000;96,544473;1,755329
28,417517;10,000000;96,530156;1,743862
28,802182;10,000000;96,716278;1,745582
29,187186;9,795221;96,821269;1,753609
29,570805;6,259651;96,620831;1,721501
29,945784;2,757347;95,709314;0,799545
30,304260;-0,662862;92,864998;0,378702
30,640275;-3,907590;88,670110;-0,612057
30,949222;-9,787591;77,221262;-1,136678
31,225517;-10,000000;69,900489;-1,618297
31,471048;-10,000000;62,885147;-1,652125
31,695789;-10,000000;57,678522;-1,653271
31,908904;-10,000000;54,433330;-1,630911
32,117766;-10,000000;52,739149;-1,653271
32,329277;-10,000000;52,672336;-1,653845
32,543707;-10,000000;53,407276;-1,638938
32,761412;-10,000000;54,762621;-1,653845
32,979538;-10,000000;54,929653;-1,641804
33,191674;-10,000000;53,636349;-1,653271
33,391794;-10,000000;51,359942;-1,654418
33,572391;-10,000000;47,532524;-1,653271
33,728451;-10,000000;42,378395;-1,652698
33,857477;-10,000000;36,680219;-1,633204
33,957832;-10,000000;30,471402;-1,652698
34,029939;-10,000000;17,729250;-1,652125
34,076244;-10,000000;11,992895;-1,653845
34,099397;-10,000000;6,695595;-1,653845
34,106366;-10,000000;2,624788;-1,632631
34,104358;-10,000000;0,090674;-1,653845
34,102029;-10,000000;-0,687217;-1,654418
34,101034;-10,000000;-0,458145;-1,654418
34,100966;-10,000000;-0,152715;-1,652698
34,098081;-10,000000;-0,806526;-1,633204
34,089154;-10,000000;-2,123692;-1,652698
34,069309;-10,000000;-4,457367;-1,652698
34,037179;-10,000000;-7,273049;-1,656138
33,993776;-10,000000;-9,816707;-1,653271
33,940114;-10,000000;-12,269691;-1,630911
33,880342;-10,000000;-14,231123;-1,652125
33,816589;-10,000000;-15,347851;-1,653845
33,751873;-10,000000;-16,264141;-1,654418
33,688372;-10,000000;-15,996890;-1,653271
33,624754;-10,000000;-15,949166;-1,631484
33,558992;-10,000000;-16,230734;-1,653271
33,487543;-10,000000;-17,357007;-1,653271
33,407302;-10,000000;-18,993920;-1,648111
33,316194;-10,000000;-21,117612;-1,653271
33,212666;-10,000000;-23,756717;-1,629191
33,096279;-10,000000;-29,445349;-1,653845
32,967304;-10,000000;-32,270575;-1,653845
32,828473;-10,000000;-34,546982;-1,643524
32,682994;-10,000000;-36,202984;-1,653845
32,534747;-10,000000;-37,114502;-1,628044
32,386956;-10,000000;-37,291078;-1,653845
32,241611;-10,000000;-36,990421;-1,654991
32,100604;-10,000000;-36,241163;-1,641804
31,962887;-10,000000;-34,546982;-1,654418
31,826334;-10,000000;-34,313137;-1,630911
31,687926;-10,000000;-34,680607;-1,653845
31,544674;-10,000000;-35,573035;-1,654418
31,393946;-10,000000;-37,081095;-1,637218
31,233499;-10,000000;-39,013894;-1,653271
31,061914;-10,000000;-41,457333;-1,633204
30,880271;-10,000000;-43,876910;-1,653845
30,691052;-7,116001;-47,661377;-1,460050
30,500601;-5,363018;-47,904766;-1,143558
30,315752;-3,651540;-46,768949;-0,863760
30,140657;-2,011780;-44,817061;-0,572496
29,977459;-0,465712;-42,244769;-0,292698
29,827271;0,996735;-39,362275;-0,010034
29,689521;2,335582;-36,589544;0,453238
29,565928;3,566393;-33,630692;0,656779
29,455954;5,687735;-27,450510;0,847133
29,358754;6,586200;-24,553698;1,019140
29,272354;7,397687;-22,177072;1,168786
29,195572;8,128300;-19,962706;1,310978
29,127009;8,783837;-17,915371;1,434823
29,064133;9,386578;-16,474124;1,615430
29,004868;9,953001;-15,481477;1,746729
28,950598;10,000000;-14,474513;1,753036
28,901070;10,000000;-12,398544;1,748449
28,857532;10,000000;-11,057516;1,754182
28,821049;10,000000;-9,511277;1,753036
28,796040;10,000000;-7,144196;1,754182
28,781899;10,000000;-4,600537;1,752462
28,778254;10,000000;-2,223911;1,746729
28,782844;10,000000;0,033406;1,752462
