Reponse harmonique en Boucle fermee

Frequence (Hz);Gain (db);Phase (degre)
500,000000;0,015786;0,349172
1000,000000;-6,022731;227,055145
1500,000000;1,238492;-13,118836
2000,000000;-1,400965;-86,098503
2500,000000;-5,332281;-100,808533
3000,000000;-8,965880;-113,757118
3500,000000;-11,775454;-117,058434
4000,000000;-51,093132;98,344963
4500,000000;-17,490168;-129,436905
5000,000000;-20,929340;-127,213089
5500,000000;-22,765701;-122,914696
6000,000000;-25,319710;-26,442072
6500,000000;-22,576551;-108,989731
7000,000000;-25,149950;-141,747528
7500,000000;-39,038063;2,711454
8000,000000;-45,478474;-92,090027
8500,000000;-26,995436;89,944183
9000,000000;-100,000000;257,123291
9500,000000;-26,060825;292,727783
10000,000000;-26,190105;160,145004

