Reponse harmonique en Boucle fermee

Frequence (Hz);Gain (db);Phase (degre)

Reponse harmonique en Boucle fermee

Frequence (Hz);Gain (db);Phase (degre)
200,000003;0,018904;0,129937
400,000006;0,016668;0,267300
600,000024;0,013113;0,415631
800,000012;0,009919;0,587475
1000,000000;0,002247;0,737438
1200,000048;-0,005940;0,979931
1399,999976;0,193149;-0,711900
1600,000024;1,868381;-55,990803
1800,000072;0,533535;-77,899475
2000,000000;-1,266426;-90,082130
2200,000048;-2,932692;-96,572807
2400,000095;-4,536324;-100,679802
2600,000143;-5,819126;-104,997452
2799,999952;-7,323956;-109,075645
3000,000000;-8,464113;-112,224236
3200,000048;-10,175367;-111,840309
3400,000095;-11,038551;-117,225021
3600,000143;-11,783923;-118,931549
3799,999952;-12,594260;-116,527153
4000,000000;-13,689231;-118,911659
4200,000286;-15,181002;-121,315865
4400,000095;-16,777914;-126,838501
4599,999905;-18,122599;-128,179581
4800,000191;-19,304295;-126,121231

