Position - Lacet;D.A.C. - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL00_094.CRB;DL00_094.CRB;VL00_094.CRB;CL00_094.CRB
3.978000;3.978000;3.978000;3.978000
deg.;V;deg./s;A
0.000017;1.050142;0;0.223322
0.000017;1.050142;0;0.230202
0.000017;1.050142;0;0.222749
0.000017;1.050142;0;0.223895
0.000017;1.050142;0;0.223322
0.000017;1.050142;0;0.223895
0.000017;1.050142;0;0.223322
0.000017;1.050142;0;0.223322
0.000017;1.050142;0;0.223322
0.002059;10;0;1.760489
0.021516;10;2.390943;1.743288
0.058101;10;6.628783;1.740422
0.107511;10;10.303486;1.745009
0.16173;10;13.701393;1.746155
0.217704;10;14.10227;1.740422
0.271147;10;13.534361;1.744435
0.321688;10;12.956908;1.736981
0.370997;10;12.336503;1.743288
0.422904;10;12.665795;1.745582
0.481461;10;13.467548;1.738702
0.550159;10;15.438526;1.744435
0.630922;10;20.487663;1.743862
0.724157;10;23.308117;1.744435
0.829069;10;25.928133;1.745582
0.942975;10;28.080459;1.736408
1.062669;10;29.612381;1.745009
1.185519;10;30.547759;1.745009
1.309821;10;31.029766;1.743862
1.435877;10;31.373375;1.743862
1.564262;10;32.337388;1.735835
1.697152;10;33.325262;1.745009
1.836624;10;34.771282;1.743862
1.984399;10;36.494097;1.743288
2.14002;10;38.388717;1.743862
2.303117;10;40.082898;1.742715
2.472356;10;41.700722;1.744435
2.644582;10;42.826995;1.735835
2.818327;10;43.686016;1.742715
2.993085;10;43.934178;1.744435
3.167927;10;43.948495;1.732968
3.343882;10;44.048714;1.746155
3.524091;10;44.812289;1.744435
3.710796;10;46.05787;1.745009
3.905854;10;47.7091;1.745582
4.11075;10;49.689622;1.735835
4.324877;10;53.970413;1.745009
4.54707;10;55.755269;1.744435
4.775321;10;57.186971;1.744435
5.007606;10;58.136667;1.743862
5.241864;10;58.823884;1.738128
5.475229;10;58.81434;1.744435
5.707614;10;58.551861;1.736981
5.940186;10;58.384829;1.743288
6.174495;10;58.943193;1.744435
6.412517;10;59.754491;1.737555
6.655416;10;60.823495;1.745009
6.905166;10;62.27906;1.745582
7.162442;10;63.939835;1.746155
7.426941;10;65.653105;1.743288
7.696671;10;67.056174;1.735835
7.970957;10;68.101317;1.747302
8.248382;10;69.805043;1.745582
8.528068;10;70.287049;1.740995
